,User,Project,Task_Category,Task_Description,Date,Duration,Time_Decimal,Cost_per_hour,Position,Task_Cost
0,UI13,Revenify,Development,Feedback on budgets index PR and Standup meeting.  Start working on User debts should be saved in the database,2017-09-01,01:17:00,1.2833333333333332,20.580709756368893,Senior Back End Developer,26.41
1,UI36,WWU,Development,Create graphs in XLSX format from user input,2017-09-01,02:30:00,2.5,24.999436897304147,Senior Full-Stack Developer,62.5
2,UI36,WWU,Development,Create graphs in XLSX format from user input,2017-09-01,00:36:49,0.6136111111111111,24.999436897304147,Senior Full-Stack Developer,15.34
3,UI38,WWU,Development,Weekly Standup,2017-09-01,00:12:05,0.2013888888888889,25.0,Project Manager / Tech Lead,5.03
4,UI36,WWU,Development,Weekly standup,2017-09-01,00:09:07,0.15194444444444444,24.999436897304147,Senior Full-Stack Developer,3.8
5,UI38,Credious,Development,Weekly Standup,2017-09-01,00:15:49,0.26361111111111113,25.0,Project Manager / Tech Lead,6.59
6,UI38,WeVape,Development,Feature Design,2017-09-02,00:59:23,0.9897222222222222,25.0,Project Manager / Tech Lead,24.74
7,UI36,WWU,Development,Do not allow data analysis to occur while the system is saving data from a new excel file,2017-09-02,01:04:52,1.0811111111111111,24.999436897304147,Senior Full-Stack Developer,27.03
8,UI38,WWU,Development,Code Review,2017-09-02,00:56:01,0.9336111111111112,25.0,Project Manager / Tech Lead,23.34
9,UI38,WeVape,Development,"Added Ligtbox for Images and videos, alternate imgaes/videos",2017-09-03,05:58:23,5.973055555555556,25.0,Project Manager / Tech Lead,149.33
10,UI38,WWU,Development,Feature Design,2017-09-03,01:01:23,1.0230555555555556,25.0,Project Manager / Tech Lead,25.58
11,UI38,WWU,Development,Feature Design,2017-09-03,01:04:20,1.0722222222222222,25.0,Project Manager / Tech Lead,26.81
12,UI36,WWU,Development,Add titles to excel,2017-09-03,02:18:31,2.308611111111111,24.999436897304147,Senior Full-Stack Developer,57.71
13,UI38,WWU,Development,Feature Design,2017-09-03,01:57:32,1.958888888888889,25.0,Project Manager / Tech Lead,48.97
14,UI13,Revenify,Development,Grooming tickets,2017-09-04,01:06:34,1.1094444444444445,20.580709756368893,Senior Back End Developer,22.83
15,UI36,WWU,Development,Translate Excel data to Hebrew,2017-09-04,01:41:00,1.6833333333333333,24.999436897304147,Senior Full-Stack Developer,42.08
16,UI13,Revenify,Development,Standup meeting,2017-09-04,00:44:10,0.736111111111111,20.580709756368893,Senior Back End Developer,15.15
17,UI38,WWU,Development,Code Review ,2017-09-04,00:31:07,0.5186111111111111,25.0,Project Manager / Tech Lead,12.97
18,UI36,WWU,Development,Save Default Analysis to DB for Generate Default graphs and Tables,2017-09-04,00:41:00,0.6833333333333333,24.999436897304147,Senior Full-Stack Developer,17.08
19,UI38,WWU,Development,Feature Design,2017-09-04,00:48:20,0.8055555555555556,25.0,Project Manager / Tech Lead,20.14
20,UI38,Credious,Development,Weekly Standup,2017-09-04,00:44:47,0.7463888888888889,25.0,Project Manager / Tech Lead,18.66
21,UI13,Revenify,Development,A user should only see budget data 90 days back,2017-09-04,02:17:47,2.2963888888888886,20.580709756368893,Senior Back End Developer,47.26
22,UI36,WWU,Development,"Create a new page for ""generate graphs and tables from defaults"" with the same UI as ""generate graphs and tables""",2017-09-05,01:16:00,1.2666666666666666,24.999436897304147,Senior Full-Stack Developer,31.67
23,UI13,Revenify,Development,"Doing some tests around  the logic of a user should only see budget data 90 days back and testing transunion endpoint, meeting with x",2017-09-05,05:16:39,5.2775,20.580709756368893,Senior Back End Developer,108.61
24,UI38,Credious,Development,Research the Skylight gem and figure out how it can help us improve our code,2017-09-05,01:30:20,1.5055555555555555,25.0,Project Manager / Tech Lead,37.64
25,UI36,WWU,Development,Weekly standup,2017-09-05,00:10:00,0.16666666666666666,24.999436897304147,Senior Full-Stack Developer,4.17
26,UI38,WWU,Development,Weekly Standup,2017-09-05,00:10:09,0.16916666666666666,25.0,Project Manager / Tech Lead,4.23
27,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,00:32:15,0.5375,20.580709756368893,Senior Back End Developer,11.06
28,UI38,Credious,Development,Feature Design,2017-09-06,01:26:05,1.4347222222222222,25.0,Project Manager / Tech Lead,35.87
29,UI36,WWU,Development,Save Default Analysis to DB for Generate Default graphs and Tables,2017-09-06,00:45:28,0.7577777777777778,24.999436897304147,Senior Full-Stack Developer,18.94
30,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,01:17:10,1.286111111111111,20.580709756368893,Senior Back End Developer,26.47
31,UI38,WeVape,Development,"Dynamically create other options for product size. ""10 pack"" ""4 pack"" etc.",2017-09-06,06:02:43,6.045277777777778,25.0,Project Manager / Tech Lead,151.13
32,UI13,Revenify,Development,Standup meeting,2017-09-06,00:28:03,0.4675,20.580709756368893,Senior Back End Developer,9.62
33,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,00:29:15,0.4875,20.580709756368893,Senior Back End Developer,10.03
34,UI13,Revenify,Development,A user can enter their expenses manually,2017-09-06,03:18:36,3.3099999999999996,20.580709756368893,Senior Back End Developer,68.12
35,UI13,Revenify,Development,A user can enter income manually,2017-09-06,02:14:53,2.2480555555555557,20.580709756368893,Senior Back End Developer,46.27
36,UI36,WWU,Development,Change the Table format to look like as in screenshot,2017-09-06,03:05:42,3.095,24.999436897304147,Senior Full-Stack Developer,77.37
37,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,00:33:14,0.553888888888889,20.580709756368893,Senior Back End Developer,11.4
38,UI38,WeVape,Development,Weekly Standup,2017-09-06,00:15:57,0.2658333333333333,25.0,Project Manager / Tech Lead,6.65
39,UI36,WeVape,Development,Weekly standup,2017-09-06,00:15:03,0.25083333333333335,24.999436897304147,Senior Full-Stack Developer,6.27
40,UI36,WWU,Development,Change the Table format to look like as in screenshot,2017-09-06,03:17:28,3.291111111111111,24.999436897304147,Senior Full-Stack Developer,82.28
41,UI38,Credious,Development,Weekly Standup,2017-09-06,00:30:12,0.5033333333333333,25.0,Project Manager / Tech Lead,12.58
42,UI13,Revenify,Development,"Checking PRs with XXX, updating them and fixing conflicts, updating documentation",2017-09-07,01:08:06,1.135,20.580709756368893,Senior Back End Developer,23.36
43,UI38,WeVape,Development,Code Deployment,2017-09-07,03:00:00,3.0,25.0,Project Manager / Tech Lead,75.0
44,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby and certificates,2017-09-07,00:41:59,0.6997222222222222,20.580709756368893,Senior Back End Developer,14.4
45,UI13,Revenify,Development,Fixing issue with the scope on budgets creation,2017-09-07,00:12:06,0.2016666666666667,20.580709756368893,Senior Back End Developer,4.15
46,UI13,Revenify,Development,"Trying to hit transunion endpoint with Ruby and certificates, fixing minor issues with the manually Incomes PR",2017-09-07,02:30:23,2.506388888888889,20.580709756368893,Senior Back End Developer,51.58
47,UI36,WWU,Development,Change the graph design to look like as in the screenshots,2017-09-07,03:27:00,3.45,24.999436897304147,Senior Full-Stack Developer,86.25
48,UI38,Credious,Development,XXX Finaance Hot Fix - Sections Index,2017-09-07,00:30:00,0.5,25.0,Project Manager / Tech Lead,12.5
49,UI36,WWU,Development,Change the graph design to look like as in the screenshots,2017-09-07,01:55:54,1.9316666666666664,24.999436897304147,Senior Full-Stack Developer,48.29
50,UI38,Credious,Development,Code Review,2017-09-07,01:04:20,1.0722222222222222,25.0,Project Manager / Tech Lead,26.81
51,UI38,Credious,Development,Code Review,2017-09-07,01:11:59,1.1997222222222221,25.0,Project Manager / Tech Lead,29.99
52,UI38,WeVape,Development,Server Deployment ,2017-09-07,00:45:00,0.75,25.0,Project Manager / Tech Lead,18.75
53,UI36,WeVape,DevOps,support on server downtime issue,2017-09-07,00:30:00,0.5,24.999436897304147,Senior Full-Stack Developer,12.5
